unix,date,symbol,open,high,low,close,Volume USD,Volume NEO
1686441600000,2023-06-11 0:00:00,NEO/USD,7.6435,7.85,7.5362,7.7709,13221.17767,1701.370197
1686355200000,2023-06-10 0:00:00,NEO/USD,9.0091,9.0091,6.9713,7.6767,227853.9923,29681.24223
1686268800000,2023-06-09 0:00:00,NEO/USD,9.0297,9.2429,8.9275,8.9855,12066.77637,1342.916518
1686182400000,2023-06-08 0:00:00,NEO/USD,8.9224,9.1529,8.7661,9.0532,17634.90413,1947.919424
1686096000000,2023-06-07 0:00:00,NEO/USD,9.6232,9.6232,8.8555,8.9557,28532.6648,3185.978181
1686009600000,2023-06-06 0:00:00,NEO/USD,9.3213,9.708,9.1071,9.708,107928.9083,11117.52248
1685923200000,2023-06-05 0:00:00,NEO/USD,10.369,10.371,9.002,9.2679,252788.2145,27275.67351
1685836800000,2023-06-04 0:00:00,NEO/USD,10.505,10.57,10.333,10.358,10422.92028,1006.267646
1685750400000,2023-06-03 0:00:00,NEO/USD,10.209,10.728,10.209,10.527,33056.49474,3140.16289
1685664000000,2023-06-02 0:00:00,NEO/USD,10.096,10.474,9.9403,10.255,52742.02365,5143.054476
1685577600000,2023-06-01 0:00:00,NEO/USD,10.498,10.517,10.06,10.104,59678.61816,5906.434893
1685491200000,2023-05-31 0:00:00,NEO/USD,10.728,10.75,10.239,10.538,57721.08322,5477.422967
1685404800000,2023-05-30 0:00:00,NEO/USD,10.826,11.17,10.581,10.717,75917.85854,7083.872216
1685318400000,2023-05-29 0:00:00,NEO/USD,10.899,11.532,10.729,10.843,80014.24019,7379.345217
1685232000000,2023-05-28 0:00:00,NEO/USD,10.623,10.95,10.618,10.875,45166.58903,4153.249566
1685145600000,2023-05-27 0:00:00,NEO/USD,9.7767,10.651,9.71,10.651,39778.74031,3734.742307
1685059200000,2023-05-26 0:00:00,NEO/USD,9.8262,9.8534,9.6355,9.7672,42792.04143,4381.198442
1684972800000,2023-05-25 0:00:00,NEO/USD,10.571,10.747,9.7713,9.9097,65550.76077,6614.807791
1684886400000,2023-05-24 0:00:00,NEO/USD,10.151,10.769,10.028,10.555,83960.07686,7954.531204
1684800000000,2023-05-23 0:00:00,NEO/USD,9.8728,10.469,9.706,10.185,166831.4302,16380.11097
1684713600000,2023-05-22 0:00:00,NEO/USD,9.201,9.9199,9.0496,9.8702,203070.0834,20574.05963
1684627200000,2023-05-21 0:00:00,NEO/USD,9.4346,9.45,9.1274,9.1274,60970.02784,6679.889985
1684540800000,2023-05-20 0:00:00,NEO/USD,9.4745,9.4876,9.3755,9.4156,21286.74441,2260.795319
1684454400000,2023-05-19 0:00:00,NEO/USD,9.435,9.5403,9.3334,9.4896,8310.560933,875.7546085
1684368000000,2023-05-18 0:00:00,NEO/USD,9.5079,9.5605,9.3224,9.4668,44319.51133,4681.572584
1684281600000,2023-05-17 0:00:00,NEO/USD,9.3425,9.5523,9.2959,9.5457,49655.25203,5201.845022
1684195200000,2023-05-16 0:00:00,NEO/USD,9.3227,9.3801,9.1818,9.3511,13783.72717,1474.022004
1684108800000,2023-05-15 0:00:00,NEO/USD,9.0978,9.4174,8.9448,9.3242,72114.13599,7734.082922
1684022400000,2023-05-14 0:00:00,NEO/USD,9.0537,9.175,8.9336,9.0922,22454.14544,2469.605314
1683936000000,2023-05-13 0:00:00,NEO/USD,9.1458,9.1782,9.0192,9.0704,19561.45407,2156.625294
1683849600000,2023-05-12 0:00:00,NEO/USD,9.1401,9.1797,8.69,9.1659,126906.7041,13845.52571
1683763200000,2023-05-11 0:00:00,NEO/USD,9.6529,9.6657,8.9929,9.1561,330613.7528,36108.57819
1683676800000,2023-05-10 0:00:00,NEO/USD,9.2604,9.7877,9.2426,9.6866,387315.4437,39984.66373
1683590400000,2023-05-09 0:00:00,NEO/USD,9.1328,9.4845,9.0524,9.2852,95192.49857,10252.06765
1683504000000,2023-05-08 0:00:00,NEO/USD,9.8916,9.9421,8.8674,9.1355,156746.5798,17157.96397
1683417600000,2023-05-07 0:00:00,NEO/USD,10.038,10.062,9.8618,9.9126,41146.49074,4150.928186
1683331200000,2023-05-06 0:00:00,NEO/USD,10.405,10.467,9.8101,10.023,76355.09511,7617.988138
1683244800000,2023-05-05 0:00:00,NEO/USD,10.079,10.458,10.079,10.457,145284.405,13893.50722
1683158400000,2023-05-04 0:00:00,NEO/USD,10.307,10.307,9.9667,10.078,68885.81405,6835.266327
1683072000000,2023-05-03 0:00:00,NEO/USD,10.29,10.409,9.8017,10.315,211093.5373,20464.7152
1682985600000,2023-05-02 0:00:00,NEO/USD,10.274,10.527,10.162,10.298,259424.5078,25191.73702
1682899200000,2023-05-01 0:00:00,NEO/USD,10.621,10.688,10.14,10.29,116520.8334,11323.69615
1682812800000,2023-04-30 0:00:00,NEO/USD,10.899,11,10.48,10.658,110114.7676,10331.65393
1682726400000,2023-04-29 0:00:00,NEO/USD,10.792,10.948,10.782,10.887,29298.87426,2691.179779
1682640000000,2023-04-28 0:00:00,NEO/USD,10.868,10.89,10.548,10.834,82424.12076,7607.912199
1682553600000,2023-04-27 0:00:00,NEO/USD,10.739,11.049,10.695,10.862,239418.615,22041.85371
1682467200000,2023-04-26 0:00:00,NEO/USD,10.937,11.427,10.199,10.76,279631.5895,25988.06594
1682380800000,2023-04-25 0:00:00,NEO/USD,10.834,11.027,10.382,10.952,157102.9195,14344.67855
1682294400000,2023-04-24 0:00:00,NEO/USD,11.303,11.315,10.572,10.853,279537.0295,25756.65987
1682208000000,2023-04-23 0:00:00,NEO/USD,11.409,11.409,10.977,11.285,117429.4226,10405.7973
1682121600000,2023-04-22 0:00:00,NEO/USD,11.026,11.454,10.95,11.443,87994.70233,7689.828046
1682035200000,2023-04-21 0:00:00,NEO/USD,11.756,11.826,10.838,11.006,235292.3422,21378.5519
1681948800000,2023-04-20 0:00:00,NEO/USD,11.855,12.138,11.552,11.74,321317.7079,27369.48109
1681862400000,2023-04-19 0:00:00,NEO/USD,13.015,13.015,11.589,11.83,673412.7688,56924.15628
1681776000000,2023-04-18 0:00:00,NEO/USD,12.926,13.211,12.714,13.06,198745.1263,15217.8504
1681689600000,2023-04-17 0:00:00,NEO/USD,13.647,13.71,12.821,12.935,332862.0933,25733.44363
1681603200000,2023-04-16 0:00:00,NEO/USD,12.956,14.2,12.728,13.568,902655.0459,66528.23157
1681516800000,2023-04-15 0:00:00,NEO/USD,12.912,13.099,12.705,12.968,136202.8935,10502.99919
1681430400000,2023-04-14 0:00:00,NEO/USD,12.445,13.08,12.424,12.938,416895.6364,32222.57199
1681344000000,2023-04-13 0:00:00,NEO/USD,12.197,12.478,12.079,12.463,97313.44163,7808.187565
1681257600000,2023-04-12 0:00:00,NEO/USD,12.512,12.547,11.901,12.214,810184.9206,66332.48081
1681171200000,2023-04-11 0:00:00,NEO/USD,12.451,12.892,12.333,12.513,305621.9309,24424.35315
1681084800000,2023-04-10 0:00:00,NEO/USD,12.189,12.514,11.998,12.463,261263.6302,20963.14131
1680998400000,2023-04-09 0:00:00,NEO/USD,12.301,12.444,11.973,12.213,158213.718,12954.53353
1680912000000,2023-04-08 0:00:00,NEO/USD,12.197,12.575,12.192,12.27,156985.3905,12794.24535
1680825600000,2023-04-07 0:00:00,NEO/USD,12.404,12.428,11.905,12.143,110999.6966,9141.04394
1680739200000,2023-04-06 0:00:00,NEO/USD,12.019,12.95,11.718,12.389,974852.6504,78686.95217
1680652800000,2023-04-05 0:00:00,NEO/USD,12.011,12.2,11.718,12.067,108139.7824,8961.612864
1680566400000,2023-04-04 0:00:00,NEO/USD,11.98,12.086,11.773,12.029,86346.22741,7178.171702
1680480000000,2023-04-03 0:00:00,NEO/USD,12.119,12.256,11.632,11.962,368884.5294,30838.03122
1680393600000,2023-04-02 0:00:00,NEO/USD,12.441,12.588,11.845,12.115,171552.6678,14160.35227
1680307200000,2023-04-01 0:00:00,NEO/USD,12.605,12.625,12.14,12.436,156217.9531,12561.75242
